log_id,timestamp,latency_ms,endpoint,status,error_type,date
1,2025-01-01 00:00:00,289.73713224089863,/analytics,success,none,2025-01-01
2,2025-01-01 00:01:00,238.93885590630524,/events,success,none,2025-01-01
3,2025-01-01 00:02:00,301.8150830480554,/analytics,error,auth_error,2025-01-01
4,2025-01-01 00:03:00,371.84238851264206,/login,success,none,2025-01-01
5,2025-01-01 00:04:00,231.26773002213312,/analytics,success,none,2025-01-01
6,2025-01-01 00:05:00,231.26904344406555,/events,success,none,2025-01-01
7,2025-01-01 00:06:00,376.3370252405913,/login,success,none,2025-01-01
8,2025-01-01 00:07:00,311.3947783322327,/analytics,success,none,2025-01-01
9,2025-01-01 00:08:00,212.44204912520382,/analytics,success,none,2025-01-01
10,2025-01-01 00:09:00,293.4048034868772,/upload,success,none,2025-01-01
11,2025-01-01 00:10:00,212.926584575003,/events,error,auth_error,2025-01-01
12,2025-01-01 00:11:00,212.74161971437945,/analytics,success,none,2025-01-01
13,2025-01-01 00:12:00,269.3569817252827,/upload,success,none,2025-01-01
14,2025-01-01 00:13:00,96.93758042737616,/login,success,none,2025-01-01
15,2025-01-01 00:14:00,112.00657339895739,/upload,error,timeout,2025-01-01
16,2025-01-01 00:15:00,205.01699766072218,/upload,success,none,2025-01-01
17,2025-01-01 00:16:00,168.97351037324609,/analytics,success,none,2025-01-01
18,2025-01-01 00:17:00,275.1397866076219,/analytics,success,none,2025-01-01
19,2025-01-01 00:18:00,177.35807395830312,/analytics,success,none,2025-01-01
20,2025-01-01 00:19:00,137.0157038931767,/upload,success,none,2025-01-01
21,2025-01-01 00:20:00,367.2519015137243,/login,success,none,2025-01-01
22,2025-01-01 00:21:00,231.93789596107715,/events,success,none,2025-01-01
23,2025-01-01 00:22:00,255.40225637503391,/upload,success,none,2025-01-01
24,2025-01-01 00:23:00,136.02014510292346,/analytics,success,none,2025-01-01
25,2025-01-01 00:24:00,206.4493820379854,/events,success,none,2025-01-01
26,2025-01-01 00:25:00,258.8738071767893,/login,success,none,2025-01-01
27,2025-01-01 00:26:00,157.92051380621578,/events,success,none,2025-01-01
28,2025-01-01 00:27:00,280.05584146765375,/analytics,success,none,2025-01-01
29,2025-01-01 00:28:00,201.9489048064956,/upload,success,none,2025-01-01
30,2025-01-01 00:29:00,226.66450001653786,/upload,success,none,2025-01-01
31,2025-01-01 00:30:00,201.86347102164825,/analytics,success,none,2025-01-01
32,2025-01-01 00:31:00,398.182254760715,/upload,success,none,2025-01-01
33,2025-01-01 00:32:00,248.9202220209653,/analytics,success,none,2025-01-01
34,2025-01-01 00:33:00,165.38312568352796,/upload,success,none,2025-01-01
35,2025-01-01 00:34:00,315.8035929682551,/upload,error,auth_error,2025-01-01
36,2025-01-01 00:35:00,152.3325080023182,/upload,success,none,2025-01-01
37,2025-01-01 00:36:00,266.7090876003804,/login,success,none,2025-01-01
38,2025-01-01 00:37:00,93.22639008961795,/login,success,none,2025-01-01
39,2025-01-01 00:38:00,143.74511608812554,/analytics,error,timeout,2025-01-01
40,2025-01-01 00:39:00,265.74889886952985,/login,success,none,2025-01-01
41,2025-01-01 00:40:00,309.07732639963285,/analytics,success,none,2025-01-01
42,2025-01-01 00:41:00,263.7094624951976,/events,success,none,2025-01-01
43,2025-01-01 00:42:00,240.74813740894075,/events,success,none,2025-01-01
44,2025-01-01 00:43:00,225.9117043528569,/login,success,none,2025-01-01
45,2025-01-01 00:44:00,131.7182407706058,/events,success,none,2025-01-01
46,2025-01-01 00:45:00,192.4124633284233,/events,success,none,2025-01-01
47,2025-01-01 00:46:00,213.148898323217,/upload,success,none,2025-01-01
48,2025-01-01 00:47:00,334.5697780975132,/upload,success,none,2025-01-01
49,2025-01-01 00:48:00,277.48946316547693,/analytics,success,none,2025-01-01
50,2025-01-01 00:49:00,108.95678757098128,/events,success,none,2025-01-01
51,2025-01-01 00:50:00,275.9267175515836,/analytics,success,none,2025-01-01
52,2025-01-01 00:51:00,219.19341756669468,/analytics,success,none,2025-01-01
53,2025-01-01 00:52:00,195.8462399755233,/events,success,none,2025-01-01
54,2025-01-01 00:53:00,298.93410310726944,/login,success,none,2025-01-01
55,2025-01-01 00:54:00,332.47996179967606,/events,success,none,2025-01-01
56,2025-01-01 00:55:00,324.5024095292959,/upload,success,none,2025-01-01
57,2025-01-01 00:56:00,182.86259814218892,/events,error,auth_error,2025-01-01
58,2025-01-01 00:57:00,225.26300993190284,/login,success,none,2025-01-01
59,2025-01-01 00:58:00,276.50107451228513,/analytics,success,none,2025-01-01
60,2025-01-01 00:59:00,328.04361016978874,/analytics,success,none,2025-01-01
61,2025-01-01 01:00:00,211.6660609723768,/upload,success,none,2025-01-01
62,2025-01-01 01:01:00,235.14728186689462,/upload,success,none,2025-01-01
63,2025-01-01 01:02:00,161.49320207951774,/upload,success,none,2025-01-01
64,2025-01-01 01:03:00,154.30347007354635,/analytics,error,auth_error,2025-01-01
65,2025-01-01 01:04:00,315.00206579153587,/upload,success,none,2025-01-01
66,2025-01-01 01:05:00,358.49920228566583,/events,error,auth_error,2025-01-01
67,2025-01-01 01:06:00,244.23919027357329,/analytics,success,none,2025-01-01
68,2025-01-01 01:07:00,330.2826318313619,/login,success,none,2025-01-01
69,2025-01-01 01:08:00,278.9308820038107,/analytics,success,none,2025-01-01
70,2025-01-01 01:09:00,198.39041963159005,/events,success,none,2025-01-01
71,2025-01-01 01:10:00,278.9116484406731,/events,success,none,2025-01-01
72,2025-01-01 01:11:00,373.04292531727754,/upload,success,none,2025-01-01
73,2025-01-01 01:12:00,247.13391687120387,/analytics,success,none,2025-01-01
